/bin/zsh: can't open input file: /Users/matthewbixby/Documents/Coding/IntelliJ-daily/daily-cat-fact-committer/run.sh
Successfully committed daily cat fact for 2025-01-06
Successfully committed daily cat fact for 2025-01-07
Successfully committed daily cat fact for 2025-01-08
Successfully committed daily cat fact for 2025-01-09
Successfully committed daily cat fact for 2025-01-10
Successfully committed daily cat fact for 2025-01-11
Successfully committed daily cat fact for 2025-01-12
Successfully committed daily cat fact for 2025-01-13
Successfully committed daily cat fact for 2025-01-14
Successfully committed daily cat fact for 2025-01-15
Successfully committed daily cat fact for 2025-01-16
Successfully committed daily cat fact for 2025-01-17
Successfully committed daily cat fact for 2025-01-18
Successfully committed daily cat fact for 2025-01-19
Successfully committed daily cat fact for 2025-01-20
Successfully committed daily cat fact for 2025-01-21
Successfully committed daily cat fact for 2025-01-22
Successfully committed daily cat fact for 2025-01-23
Successfully committed daily cat fact for 2025-01-24
Successfully committed daily cat fact for 2025-01-25
Successfully committed daily cat fact for 2025-01-26
Successfully committed daily cat fact for 2025-01-27
Successfully committed daily cat fact for 2025-01-28
Successfully committed daily cat fact for 2025-01-29
Successfully committed daily cat fact for 2025-01-30
Successfully committed daily cat fact for 2025-01-31
Successfully committed daily cat fact for 2025-02-01
Successfully committed daily cat fact for 2025-02-02
Successfully committed daily cat fact for 2025-02-03
Successfully committed daily cat fact for 2025-02-04
Successfully committed daily cat fact for 2025-02-05
Successfully committed daily cat fact for 2025-02-06
Successfully committed daily cat fact for 2025-02-07
